OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
5,1314,1,1314,1,1957
6,1571,2,799,2,1993
5,796,0,796,1,1910
5,1768,1,731,1,1937
5,1691,1,1026,2,1924
5,894,2,894,1,1972
6,1560,2,684,2,2005
4,1154,1,796,1,1922
6,1422,2,1422,2,1981
8,1496,2,1496,2,2007
6,913,1,814,1,1966
5,1086,2,1024,1,1966
7,1601,2,1271,2,1978
7,1986,2,768,2,1965
7,1164,2,1164,1,1969
6,2267,2,1010,2,2002
6,2259,2,1809,2,1953
5,825,2,825,1,1955
6,1426,2,690,1,1977
6,1651,2,1606,2,1986
5,789,1,768,1,1926
5,2634,4,1248,2,1969
5,1576,1,1042,1,1928
6,1484,2,783,2,2005
7,1200,2,1176,2,2003
7,1250,2,625,2,2006
7,1902,2,1902,2,1959
3,1040,2,0,2,1949
7,1502,2,1502,2,2009
5,1228,1,1228,1,1966
5,1268,1,832,1,1949
5,864,0,864,1,1925
6,1686,2,1686,2,1980
4,1620,2,1281,2,1976
5,858,2,858,1,1982
7,1301,2,1293,2,2006
6,1505,2,1505,1,1953
4,864,1,864,1,1970
5,1224,2,1086,0,1979
5,1383,1,1383,1,1954
5,816,1,816,1,1982
7,1344,4,1344,2,1997
7,1392,2,689,2,2007
5,1065,2,1065,1,1960
5,1250,2,661,2,1910
4,1452,0,736,2,1920
6,1096,0,572,1,1924
7,1428,2,1428,2,2007
6,1658,2,773,2,1995
5,864,2,864,1,1950
5,1928,0,686,2,1916
6,1537,2,1319,1,1962
7,1863,3,879,2,2006
10,2007,3,1017,2,2008
9,1792,3,1792,2,2003
5,968,2,968,1,1923
6,2654,2,1054,2,1968
4,960,1,648,0,1965
10,2775,2,1237,3,1893
9,2643,3,2153,2,2006
8,1646,2,1594,2,2004
6,1298,2,1298,2,1985
8,1694,3,1694,2,2008
6,958,1,958,1,1960
5,999,1,925,1,1962
5,1020,0,780,1,1875
7,1674,2,814,2,2000
8,2113,3,2109,2,1995
6,2030,2,848,2,1976
6,1217,1,626,1,1980
8,2169,2,1284,2,2002
7,1850,2,973,2,1994
5,1144,1,1144,1,1963
7,1504,2,1346,2,2005
