Trade No.,Date,Time,SL,Result,Liquidated?,Body size,Size of Closing Candle,EMA,TrendlineMove,MaxMove
1,22 Oct,10:45,2.4,3,No,75,0.73,Yes,14.7,3.8
2,22 Oct,19:25,6.5,-6.5,No,90,4.575,Yes,10.5,-8.2
3,23 Oct,4:25,1.8,3,No,80,0.295,Yes,18.7,8.6
4,23 Oct,10:40,2.2,-2.2,No,80,1.585,Yes,11.4,-4
5,23 Oct,14:40,4.7,3,No,98,1.88,Yes,19,41
6,23 Oct,19:20,8,-8,No,85,2.1,Yes,19.2,-28
7,23 Oct,21:00,8.3,3,No,80,4.135,Yes,28.7,5
8,24 Oct,15:15,3.3,-3.3,Yes,90,1.02,Yes,15.7,-6.5
9,24 Oct,20:25,10.2,3,No,90,3.755,Yes,19.2,5
10,24 Oct,3:35,2.9,3,No,100,0.895,Yes,14,9.5
11,31 Oct,20:45,7.5,3,No,85,4.28,No,22.8,10
12,1 Nov,11:55,5,3,No,80,1.295,,10.2,5
13,1 Nov,19:50,11.5,3,No,90,3.765,,15.2,10.5
14,1 Nov,20:25,8,3,No,40,1.66,No,16.8,3
15,1 Nov,21:00,2.3,3,No,85,1.945,No,10.5,14
16,1 Nov,23:55,3.9,3,Yes,75,1.06,Yes,27.5,3.5
17,4 Nov,15:45,2.8,3,No,95,1.88,No,10.7,5
18,4 Nov,22:45,4.1,3,No,60,1.02,Yes,11.9,3.4
19,5 Nov,11:10,1.9,3,No,90,1.545,Yes,10.8,3.5
20,5 Nov,14:50,2.5,3,No,95,1.48,,12.2,6.1
21,5 Nov,20:10,5,3,No,75,2.555,Yes,12.7,11.1
22,5 Nov,21:25,9.3,3,No,95,1.335,Yes,15.6,4
23,6 Nov,6:40,6.3,3,No,85,3.175,Yes,10.4,10.5
24,6 Nov,7:30,3.8,3,No,40,0.96,No,14.3,12.5
25,6 Nov,10:05,8.5,3,No,50,0.815,Yes,18,4.1
26,6 Nov,12:15,11.2,3,No,70,7.445,No,30,18.5
27,6 Nov,14:00,6.5,3,No,40,1.52,No,27.6,66.5
28,6 Nov,17:30,10.3,-10.3,No,90,6.985,No,21.8,-45.5
29,6 Nov,19:40,13.2,-13.2,No,90,6.505,Yes,41.5,-16.5
30,6 Nov,21:30,5,3,No,50,2.11,No,21,8
31,7 Nov,9:35,3.9,3,No,55,1.37,Yes,12.7,4.6
32,7 Nov,13:55,5,3,No,95,1.95,Yes,12.4,5.1
33,7 Nov,19:35,4,-4,No,85,2.79,No,19.5,-16
34,7 Nov,20:30,5,-5,No,50,1.71,No,10.7,-9
35,7 Nov,21:15,4.2,3,No,90,2.47,No,32.7,6.8
36,8 Nov,7:45,4.5,-4.5,No,60,0.94,No,12.5,-5.2
37,8 Nov,13:05,4.7,3,No,90,1.44,Yes,12.1,6.3
38,8 Nov,17:30,5,3,No,80,1.5,Yes,11.9,3.8
39,8 Nov,19:45,5.6,3,No,75,1.78,No,10.7,13.1
40,8 Nov,20:55,7,-2.9,No,50,1.63,Yes,17.4,-7.2
41,11 Nov,9:10,4.5,3,No,100,2.205,Yes,16.5,3.4
42,11 Nov,16:50,6.4,-6.4,No,40,0.905,No,12.8,-50
43,11 Nov,20:30,8,-8,No,85,2.85,No,36,-12
44,11 Nov,21:40,2.5,-2.5,No,75,1.93,No,21.2,-4
45,12 Nov,2:25,4.4,-4.4,No,95,1.55,Yes,14.5,-4.7
46,12 Nov,11:55,4.3,-4.3,No,90,1.945,No,12.3,-16
47,12 Nov,16:15,6,3,No,50,2.995,Yes,27.2,19.2
48,12 Nov,20:25,7.2,3,No,60,0.955,Yes,24.2,16
49,12 Nov,22:15,4.5,-4.5,No,50,0.965,Yes,16.9,-8
50,12 Nov,23:20,6,3,No,98,3.46,Yes,21.6,13.5
51,13 Nov,7:20,1.8,3,No,30,0.75,No,10.9,3.9
52,13 Nov,8:50,4.3,3,No,90,1.42,Yes,12.8,7.3
53,13 Nov,20:05,11.7,3,No,80,3.44,Yes,13.8,25.5
54,13 Nov,21:10,7.6,3,No,70,2.3,Yes,18.7,5
55,13 Nov,23:00,3.4,3,No,60,1.995,No,25.8,4.2
56,13 Nov,2:30,3.5,3,Yes,85,2.41,Yes,41.6,4.8
57,14 Nov,8:35,4.5,-4.5,No,98,2.72,Yes,22,-12
58,14 Nov,13:00,7.1,-7.1,No,70,2.37,Yes,14.2,-16
59,14 Nov,15:55,9.1,3,No,98,4.49,Yes,16.5,30.3
60,14 Nov,20:20,8.3,-5,No,75,3.68,Yes,24.2,17.3
61,14 Nov,22:10,3.2,3,No,85,1.9,No,19,6.4
62,15 Nov,11:55,4,3,No,98,1.81,No,10.3,10
63,15 Nov,12:15,9,3,No,85,1.85,Yes,14.1,10.5
64,15 Nov,17:40,7,-7,Yes,80,1.91,Yes,17.8,-8.4
65,15 Nov,20:50,7,3,No,60,2.56,Yes,10,8.5
66,15 Nov,22:35,2.8,3,Yes,85,2.35,No,12.5,5
67,16 Nov,3:25,2.8,3,No,30,0.74,Yes,14.8,34
68,18 Nov,10:30,3.2,3,No,85,1.69,Yes,35,7.5
69,18 Nov,11:55,6.1,3,No,70,1.54,Yes,10.8,9.5
70,18 Nov,15:30,3.3,3,No,50,1.24,No,11.5,4
71,18 Nov,21:10,2.3,-2.3,No,70,1.45,No,21,-3.6
72,18 Nov,21:50,3,3,No,80,1.61,No,23.1,5
73,19 Nov,9:00,2.8,-2.8,No,50,1.05,Yes,11.9,-3.3
74,19 Nov,15:20,4.7,-4.7,No,40,0.83,No,13.4,-5.7
75,19 Nov,16:55,2.5,3,No,70,0.82,Yes,10.9,5.2
76,19 Nov,20:40,6,3,Yes,85,1.78,Yes,12.3,4.3
77,19 Nov,22:30,6.5,3,No,30,0.64,Yes,16,5.3
78,20 Nov,9:20,3.2,3,No,50,0.47,Yes,18.1,17
79,20 Nov,14:00,4,3,No,40,0.64,No,16.4,28.5
80,20 Nov,19:10,5.5,-5.5,No,70,2.05,Yes,11.1,-18.8
81,20 Nov,19:15,6.5,-6.5,No,40,1.14,Yes,16.5,-20
82,20 Nov,22:50,4.9,3,No,70,0.79,Yes,32,5.1
83,21 Nov,14:45,5.6,-5.6,No,75,1.57,Yes,15.7,-6.7
84,21 Nov,17:30,5.5,3,No,90,3.09,Yes,17.7,7
85,22 Nov,0:05,2.5,-2.5,Yes,75,1.63,Yes,10.2,-18.6
86,22 Nov,8:55,4.2,3,No,80,2.73,Yes,11.7,5.1
87,22 Nov,14:20,3.7,3,No,85,2.84,Yes,16,3.1
88,22 Nov,17:40,3.4,3,No,70,1.42,No,10.6,4
89,22 Nov,20:05,7,3,No,70,2.98,Yes,15.8,14
90,22 Nov,21:30,3,-3,No,50,1.46,No,17.3,-4
91,23 Nov,0:10,2.8,3,No,40,0.67,No,22.8,3.6
92,25 Nov,5:50,5.3,3,No,85,2.22,Yes,13.8,16
93,25 Nov,15:35,2.8,3,No,50,,Yes,15.2,3.5
94,25 Nov,17:25,2.3,3,No,50,,No,18,50
95,25 Nov,21:30,7.8,3,No,98,,Yes,17.2,5.1
96,26 Nov,0:45,6.2,3,No,98,,Yes,20.4,7
97,26 Nov,2:25,2.8,3,No,60,,Yes,11.6,20
98,26 Nov,7:15,5.5,3,No,90,,No,23.5,14.6
99,26 Nov,11:25,6.7,-6.7,No,80,,Yes,11.5,-13
100,26 Nov,16:30,4,-4,Yes,90,,Yes,10.5,-12.3
101,26 Nov,21:20,4.1,3,No,60,,No,10.1,8.4
102,27 Nov,0:20,4.9,3,No,90,,Yes,10.8,9
